EXCH_ID	SEGMENT	SECURITY_ID	ISIN	INSTRUMENT	UNDERLYING_SECURITY_ID	UNDERLYING_SYMBOL	SYMBOL_NAME	DISPLAY_NAME	INSTRUMENT_TYPE	SERIES	LOT_SIZE	SM_EXPIRY_DATE	STRIKE_PRICE	OPTION_TYPE	TICK_SIZE	EXPIRY_FLAG	BRACKET_FLAG	COVER_FLAG	ASM_GSM_FLAG	ASM_GSM_CATEGORY	BUY_SELL_INDICATOR	BUY_CO_MIN_MARGIN_PER	SELL_CO_MIN_MARGIN_PER	BUY_CO_SL_RANGE_MAX_PERC	SELL_CO_SL_RANGE_MAX_PERC	BUY_CO_SL_RANGE_MIN_PERC	SELL_CO_SL_RANGE_MIN_PERC	BUY_BO_MIN_MARGIN_PER	SELL_BO_MIN_MARGIN_PER	BUY_BO_SL_RANGE_MAX_PERC	SELL_BO_SL_RANGE_MAX_PERC	BUY_BO_SL_RANGE_MIN_PERC	SELL_BO_SL_MIN_RANGE	BUY_BO_PROFIT_RANGE_MAX_PERC	SELL_BO_PROFIT_RANGE_MAX_PERC	BUY_BO_PROFIT_RANGE_MIN_PERC	SELL_BO_PROFIT_RANGE_MIN_PERC	MTF_LEVERAGE
NSE	D	35000	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-32000-CE	BANKNIFTY 31 JUL 32000 CALL	OP	NA	35	7/31/2025	32000	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35001	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-32000-PE	BANKNIFTY 31 JUL 32000 PUT	OP	NA	35	7/31/2025	32000	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35002	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-72300-CE	BANKNIFTY 31 JUL 72300 CALL	OP	NA	35	7/31/2025	72300	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35003	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-72300-PE	BANKNIFTY 31 JUL 72300 PUT	OP	NA	35	7/31/2025	72300	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35004	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-72400-CE	BANKNIFTY 31 JUL 72400 CALL	OP	NA	35	7/31/2025	72400	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35005	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-72400-PE	BANKNIFTY 31 JUL 72400 PUT	OP	NA	35	7/31/2025	72400	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35006	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-39700-CE	BANKNIFTY 31 JUL 39700 CALL	OP	NA	35	7/31/2025	39700	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35007	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-39700-PE	BANKNIFTY 31 JUL 39700 PUT	OP	NA	35	7/31/2025	39700	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35008	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-80000-CE	BANKNIFTY 31 JUL 80000 CALL	OP	NA	35	7/31/2025	80000	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35009	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-80000-PE	BANKNIFTY 31 JUL 80000 PUT	OP	NA	35	7/31/2025	80000	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35010	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-72300-CE	BANKNIFTY 28 AUG 72300 CALL	OP	NA	35	8/28/2025	72300	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35011	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-39800-CE	BANKNIFTY 31 JUL 39800 CALL	OP	NA	35	7/31/2025	39800	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35012	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-39800-PE	BANKNIFTY 31 JUL 39800 PUT	OP	NA	35	7/31/2025	39800	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35013	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-39900-CE	BANKNIFTY 31 JUL 39900 CALL	OP	NA	35	7/31/2025	39900	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35014	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-39900-PE	BANKNIFTY 31 JUL 39900 PUT	OP	NA	35	7/31/2025	39900	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35015	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-72300-PE	BANKNIFTY 28 AUG 72300 PUT	OP	NA	35	8/28/2025	72300	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35016	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-72400-CE	BANKNIFTY 28 AUG 72400 CALL	OP	NA	35	8/28/2025	72400	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35017	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-70700-CE	BANKNIFTY 31 JUL 70700 CALL	OP	NA	35	7/31/2025	70700	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35018	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-70700-PE	BANKNIFTY 31 JUL 70700 PUT	OP	NA	35	7/31/2025	70700	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35019	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-70600-CE	BANKNIFTY 28 AUG 70600 CALL	OP	NA	35	8/28/2025	70600	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35020	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-40100-CE	BANKNIFTY 31 JUL 40100 CALL	OP	NA	35	7/31/2025	40100	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35021	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-40100-PE	BANKNIFTY 31 JUL 40100 PUT	OP	NA	35	7/31/2025	40100	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35022	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-70600-PE	BANKNIFTY 28 AUG 70600 PUT	OP	NA	35	8/28/2025	70600	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35023	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-72400-PE	BANKNIFTY 28 AUG 72400 PUT	OP	NA	35	8/28/2025	72400	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35024	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-80000-CE	BANKNIFTY 28 AUG 80000 CALL	OP	NA	35	8/28/2025	80000	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35025	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-80000-PE	BANKNIFTY 28 AUG 80000 PUT	OP	NA	35	8/28/2025	80000	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35026	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Sep2025-72300-CE	BANKNIFTY 25 SEP 72300 CALL	OP	NA	35	9/25/2025	72300	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35027	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Sep2025-72300-PE	BANKNIFTY 25 SEP 72300 PUT	OP	NA	35	9/25/2025	72300	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35028	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Sep2025-72400-CE	BANKNIFTY 25 SEP 72400 CALL	OP	NA	35	9/25/2025	72400	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35029	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Sep2025-72400-PE	BANKNIFTY 25 SEP 72400 PUT	OP	NA	35	9/25/2025	72400	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35030	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-70300-CE	BANKNIFTY 31 JUL 70300 CALL	OP	NA	35	7/31/2025	70300	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35031	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-70300-PE	BANKNIFTY 31 JUL 70300 PUT	OP	NA	35	7/31/2025	70300	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35032	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Sep2025-80000-CE	BANKNIFTY 25 SEP 80000 CALL	OP	NA	35	9/25/2025	80000	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35033	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-70700-CE	BANKNIFTY 28 AUG 70700 CALL	OP	NA	35	8/28/2025	70700	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35034	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-70700-PE	BANKNIFTY 28 AUG 70700 PUT	OP	NA	35	8/28/2025	70700	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35037	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Sep2025-80000-PE	BANKNIFTY 25 SEP 80000 PUT	OP	NA	35	9/25/2025	80000	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35040	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-70400-CE	BANKNIFTY 31 JUL 70400 CALL	OP	NA	35	7/31/2025	70400	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35041	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-70400-PE	BANKNIFTY 31 JUL 70400 PUT	OP	NA	35	7/31/2025	70400	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35044	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-78000-CE	BANKNIFTY 31 JUL 78000 CALL	OP	NA	35	7/31/2025	78000	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35047	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-78000-PE	BANKNIFTY 31 JUL 78000 PUT	OP	NA	35	7/31/2025	78000	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35157	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Sep2025-34000-CE	BANKNIFTY 25 SEP 34000 CALL	OP	NA	35	9/25/2025	34000	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35160	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Sep2025-34000-PE	BANKNIFTY 25 SEP 34000 PUT	OP	NA	35	9/25/2025	34000	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35167	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Sep2025-41300-CE	BANKNIFTY 25 SEP 41300 CALL	OP	NA	35	9/25/2025	41300	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35171	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Sep2025-41300-PE	BANKNIFTY 25 SEP 41300 PUT	OP	NA	35	9/25/2025	41300	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35234	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-70800-CE	BANKNIFTY 31 JUL 70800 CALL	OP	NA	35	7/31/2025	70800	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35236	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-70800-PE	BANKNIFTY 31 JUL 70800 PUT	OP	NA	35	7/31/2025	70800	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35241	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-70900-CE	BANKNIFTY 31 JUL 70900 CALL	OP	NA	35	7/31/2025	70900	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35246	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-70900-PE	BANKNIFTY 31 JUL 70900 PUT	OP	NA	35	7/31/2025	70900	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35248	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-78500-CE	BANKNIFTY 31 JUL 78500 CALL	OP	NA	35	7/31/2025	78500	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35256	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Jul2025-78500-PE	BANKNIFTY 31 JUL 78500 PUT	OP	NA	35	7/31/2025	78500	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35258	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-70800-CE	BANKNIFTY 28 AUG 70800 CALL	OP	NA	35	8/28/2025	70800	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35259	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-70800-PE	BANKNIFTY 28 AUG 70800 PUT	OP	NA	35	8/28/2025	70800	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35260	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-70900-CE	BANKNIFTY 28 AUG 70900 CALL	OP	NA	35	8/28/2025	70900	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35268	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-70900-PE	BANKNIFTY 28 AUG 70900 PUT	OP	NA	35	8/28/2025	70900	PE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NSE	D	35285	NA	OPTIDX	26009	BANKNIFTY	BANKNIFTY-Aug2025-78500-CE	BANKNIFTY 28 AUG 78500 CALL	OP	NA	35	8/28/2025	78500	CE	5	M	N	N	N	NA	A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
